Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,DIGCOMP3.0-fr,DigComp 3.0 – Référentiel européen de la compétence numérique,"<div class=""container"">
<h1>DigComp 3.0 – Référentiel européen de la compétence numérique</h1>
<p>Le référentiel européen de compétence numérique <strong>DigComp 3.0</strong> (cinquième édition) décrit les <em>connaissances, capacités et attitudes</em> dont les citoyennes et citoyens ont besoin pour vivre, apprendre, travailler et participer à la société dans un monde numérique.</p>
<p>Il est structuré en <strong>5 domaines</strong> et <strong>21 compétences</strong>, chacune déclinée en quatre niveaux de maîtrise (de base, intermédiaire, avancé et très avancé) et associée à un ensemble de résultats d’apprentissage. Cette version met particulièrement l’accent sur les usages des <strong>technologies d’intelligence artificielle (IA)</strong>, en intégrant de manière transversale la compréhension, l’usage critique et responsable, ainsi que les implications éthiques et sociétales de l’IA.</p>
<p><strong>Référence complète :</strong> Cosgrove, J. &amp; Cachia, R., <em>DigComp 3.0: European Digital Competence Framework – Fifth Edition</em>, Publications Office of the European Union, Luxembourg, 2025, <a href=""https://data.europa.eu/doi/10.2760/0001149"" target=""_blank"" rel=""noopener"">doi:10.2760/0001149</a>, JRC144121.</p>
</div>",1,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"domain,competency,proficiency,practice"
,DIGCOMP3.0-fr-D1,"1. RECHERCHE, ÉVALUATION ET GESTION DE L’INFORMATION","<div class=""container"">
<h2>1. Recherche, évaluation et gestion de l’information</h2>
<ul>
<li>Exprimer ses besoins en information, puis rechercher, localiser et récupérer des informations et contenus numériques.</li>
<li>Juger de la pertinence des sources et de leurs contenus dans des environnements numériques.</li>
<li>Évaluer de manière critique les sources et contenus numériques, ainsi que les processus utilisés pour les produire (y compris ceux qui font appel à l’IA).</li>
<li>Stocker, organiser, gérer et analyser des informations et des données numériques.</li>
</ul>
<p><em>Ce domaine regroupe les compétences 1.1 à 1.3 du référentiel DigComp 3.0.</em></p>
</div>",1,,,,,,,,,
,DIGCOMP3.0-fr-D2,2. COMMUNICATION ET COLLABORATION,"<div class=""container"">
<h2>2. Communication et collaboration</h2>
<ul>
<li>Interagir, partager, communiquer et collaborer dans des environnements numériques en étant conscient des diversités culturelle, générationnelle et autres, ainsi que des possibilités et limites des technologies numériques.</li>
<li>Participer à la vie en société grâce aux technologies numériques et exercer ses droits en ligne, en faisant des choix éclairés.</li>
<li>Gérer sa présence et son identité numériques, ainsi que sa réputation et son empreinte numériques.</li>
</ul>
<p><em>Ce domaine regroupe les compétences 2.1 à 2.6 du référentiel DigComp 3.0.</em></p>
</div>",1,,,,,,,,,
,DIGCOMP3.0-fr-D3,3. CRÉATION DE CONTENU,"<div class=""container"">
<h2>3. Création de contenu</h2>
<ul>
<li>Créer et modifier du contenu numérique, et améliorer ou intégrer des informations et contenus dans un corpus de connaissances existant.</li>
<li>Comprendre comment s’appliquent les droits d’auteur, les licences et les questions juridiques et éthiques associées, et les appliquer correctement.</li>
<li>Adopter une approche éthique et responsable dans la création, l’amélioration et l’intégration de contenus, y compris lors de l’usage de systèmes d’IA générative.</li>
<li>Mobiliser la pensée informatique et des techniques de programmation pour donner des instructions à un système informatique.</li>
</ul>
<p><em>Ce domaine regroupe les compétences 3.1 à 3.4 du référentiel DigComp 3.0.</em></p>
</div>",1,,,,,,,,,
,DIGCOMP3.0-fr-D4,"4. SÉCURITÉ, BIEN-ÊTRE ET USAGE RESPONSABLE","<div class=""container"">
<h2>4. Sécurité, bien-être et usage responsable</h2>
<ul>
<li>Protéger les appareils, les contenus, les données personnelles et la vie privée dans les environnements numériques.</li>
<li>Soutenir le bien-être physique, mental et social de soi-même et des autres, et être conscient des bénéfices et des risques des technologies numériques pour le bien-être et l’inclusion sociale.</li>
<li>Être conscient de l’impact environnemental des technologies numériques et de leurs usages, agir pour réduire cet impact et utiliser le numérique au service de la durabilité.</li>
</ul>
<p><em>Ce domaine regroupe les compétences 4.1 à 4.4 du référentiel DigComp 3.0.</em></p>
</div>",1,,,,,,,,,
,DIGCOMP3.0-fr-D5,5. IDENTIFICATION ET RÉSOLUTION DE PROBLÈMES,"<div class=""container"">
<h2>5. Identification et résolution de problèmes</h2>
<ul>
<li>Identifier et évaluer des besoins et des problèmes, et utiliser les technologies numériques ou adapter les environnements numériques pour y répondre.</li>
<li>Identifier et résoudre des problèmes techniques et conceptuels dans des environnements numériques.</li>
<li>Utiliser les technologies numériques pour améliorer ou concevoir de nouvelles solutions, renforcer son autonomie dans les environnements numériques et rester informé des évolutions technologiques et de leurs implications.</li>
</ul>
<p><em>Ce domaine regroupe les compétences 5.1 à 5.4 du référentiel DigComp 3.0.</em></p>
</div>",1,,,,,,,,,
DIGCOMP3.0-fr-D1,DIGCOMP3.0-fr-D1-C1,"1.1 : NAVIGUER, RECHERCHER ET FILTRER L’INFORMATION","<p><strong>Descripteur DigComp 3.0 :</strong> Exprimer ses besoins en information, savoir comment et où chercher des informations et des contenus dans des environnements numériques, et y accéder et y naviguer. Sélectionner des outils numériques appropriés pour créer, mettre en œuvre et actualiser des recherches dans des environnements numériques et être capable de distinguer les informations et contenus pertinents de ceux qui ne le sont pas.</p>",1,,,,,,,,,
DIGCOMP3.0-fr-D1,DIGCOMP3.0-fr-D1-C2,1.2 : ÉVALUER L’INFORMATION,"<p><strong>Descripteur DigComp 3.0 :</strong> Évaluer et comparer la crédibilité et la fiabilité des sources d’information et de contenu dans des environnements numériques. Interpréter et évaluer de manière critique les informations et contenus dans des environnements numériques, ainsi que les processus utilisés pour les générer.</p>",1,,,,,,,,,
DIGCOMP3.0-fr-D1,DIGCOMP3.0-fr-D1-C3,1.3 : GÉRER L’INFORMATION,"<p><strong>Descripteur DigComp 3.0 :</strong> Organiser, stocker et retrouver des informations et des données dans des environnements numériques. Collecter, traiter et analyser des informations et des données dans des environnements numériques structurés.</p>",1,,,,,,,,,
DIGCOMP3.0-fr-D2,DIGCOMP3.0-fr-D2-C1,2.1 : INTERAGIR PAR ET AVEC LES TECHNOLOGIES NUMÉRIQUES,"<p><strong>Descripteur DigComp 3.0 :</strong> Interagir au moyen et à travers une variété de technologies numériques, et utiliser des modes de communication numérique appropriés au contexte.</p>",1,,,,,,,,,
